time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1781598646.56518865,0.00408222,15274,0.00034401,0.00000000,0,0.00000000,571,739,254,0.00000000
1781598646.66571140,0.00368475,15072,0.00022586,0.00000000,0,0.00000000,739,754,148,0.00106545
1781598646.76564956,0.00507661,15175,0.00031240,0.00000000,0,0.00000000,754,770,115,0.00128538
1781598646.86515045,0.00418929,15101,0.00016288,0.00000000,0,0.00000000,770,813,94,0.00126112
1781598646.96522856,0.00508206,15172,0.00034837,0.00000000,0,0.00000000,813,821,83,0.00064339
1781598647.06563425,0.00514755,15111,0.00042885,0.00000000,0,0.00000000,821,779,84,0.00081354
1781598647.16523266,0.00411840,15187,0.00020192,0.00000000,0,0.00000000,779,710,71,0.00047844
1781598647.26523161,0.00479369,15229,0.00011145,0.00000000,0,0.00000000,710,766,79,0.00165782
1781598647.36523986,0.00328302,14992,0.00007534,0.00000000,0,0.00000000,766,778,42,0.00055885
1781598647.46520185,0.00435877,15204,0.00010520,0.00000000,0,0.00000000,778,795,62,0.00076454
1781598647.56563115,0.00500747,15146,0.00015154,0.00000000,0,0.00000000,795,815,53,0.00171454
1781598647.66561174,0.00439473,15173,0.00010623,0.00000000,0,0.00000000,815,808,46,0.00061722
1781598647.76572609,0.00435678,15109,0.00016899,0.00000000,0,0.00000000,808,830,52,0.00047020
1781598647.86560726,0.00425325,15203,0.00016666,0.00000000,0,0.00000000,830,808,40,0.00044501
1781598647.96525693,0.00362538,15126,0.00007776,0.00000000,0,0.00000000,808,828,43,0.00044003
1781598648.06523204,0.00535226,15091,0.00019241,0.00000000,0,0.00000000,828,814,44,0.00083831
1781598648.16526079,0.00414677,15139,0.00006536,0.00000000,0,0.00000000,814,811,29,0.00075088
1781598648.26567912,0.00503845,15158,0.00008377,0.00000000,0,0.00000000,811,803,25,0.00088325
1781598648.36561847,0.00467637,15074,0.00010333,0.00000000,0,0.00000000,803,806,42,0.00166049
1781598648.46531463,0.00498465,15201,0.00005926,0.00000000,0,0.00000000,806,822,23,0.00048575
1781598648.56571841,0.00429524,15138,0.00009309,0.00000000,0,0.00000000,822,837,24,0.00081923
1781598648.66513467,0.01246222,15247,0.00008954,0.00000000,0,0.00000000,837,832,19,0.00063326
1781598648.76523614,0.00413983,15027,0.00010617,0.00000000,0,0.00000000,832,839,23,0.00099554
1781598648.86514950,0.00421072,15174,0.00006875,0.00000000,0,0.00000000,839,846,28,0.00060380
1781598648.96567059,0.00357845,15224,0.00006859,0.00000000,0,0.00000000,846,809,15,0.00090637
1781598649.06525922,0.00376262,15111,0.00006659,0.00000000,0,0.00000000,809,813,28,0.00102093
1781598649.16568136,0.00365507,15060,0.00005885,0.00000000,0,0.00000000,813,827,22,0.00091810
1781598649.26557755,0.00403827,15185,0.00004710,0.00000000,0,0.00000000,827,818,18,0.00055535
1781598649.36554766,0.00485961,15128,0.00006874,0.00000000,0,0.00000000,818,832,22,0.00049538
1781598649.46516299,0.00773261,15043,0.00009764,0.00000000,0,0.00000000,832,828,20,0.00049734
1781598649.56557298,0.00492727,15053,0.00005391,0.00000000,0,0.00000000,828,830,18,0.00085605
1781598649.66555238,0.00337973,15214,0.00005216,0.00000000,0,0.00000000,830,836,19,0.00058563
1781598649.76568484,0.00376476,14936,0.00005014,0.00000000,0,0.00000000,836,849,22,0.00060532
1781598649.86517072,0.00403364,15168,0.00006563,0.00000000,0,0.00000000,849,862,27,0.00089747
1781598649.96557331,0.00432514,15135,0.00008918,0.00000000,0,0.00000000,862,858,21,0.00093657
1781598650.06519890,0.00685224,15186,0.00012402,0.00000000,0,0.00000000,858,892,42,0.00057009
1781598650.16562915,0.00409568,15007,0.00015704,0.00000000,0,0.00000000,892,836,27,0.00073468
1781598650.26530242,0.00445448,15158,0.00006448,0.00000000,0,0.00000000,836,832,21,0.00058320
1781598650.36579657,0.00497035,15000,0.00003245,0.00000000,0,0.00000000,832,844,14,0.00069159
1781598650.46557879,0.00366673,15014,0.00006090,0.00000000,0,0.00000000,844,824,22,0.00103008
1781598650.56532168,0.00417072,15055,0.00006193,0.00000000,0,0.00000000,824,827,22,0.00070327
1781598650.66514850,0.00398753,15230,0.00005157,0.00000000,0,0.00000000,827,844,22,0.00054587
1781598650.76558852,0.00339665,15091,0.00003416,0.00000000,0,0.00000000,844,849,13,0.00052804
1781598650.86529994,0.01281166,15073,0.00004253,0.00000000,0,0.00000000,849,862,13,0.00049935
1781598650.96570563,0.00410475,15064,0.00005735,0.00000000,0,0.00000000,862,844,19,0.00044451
1781598651.06562543,0.00415149,15030,0.00006565,0.00000000,0,0.00000000,844,860,22,0.00060519
1781598651.16526151,0.00477026,15129,0.00005773,0.00000000,0,0.00000000,860,868,28,0.00088379
1781598651.26565695,0.00435393,15110,0.00005984,0.00000000,0,0.00000000,868,873,20,0.00051858
1781598651.36556768,0.00460963,15130,0.00004287,0.00000000,0,0.00000000,873,875,11,0.00079677
1781598651.46523857,0.00492301,15139,0.00009707,0.00000000,0,0.00000000,875,890,31,0.00091117
1781598651.56563926,0.00490287,15185,0.00008002,0.00000000,0,0.00000000,890,897,26,0.00084521
1781598651.66584802,0.00436033,15081,0.00005387,0.00000000,0,0.00000000,897,919,23,0.00063183
1781598651.76566982,0.00414137,15036,0.00006872,0.00000000,0,0.00000000,919,915,25,0.00068779
1781598651.86590719,0.00456514,15104,0.00008994,0.00000000,0,0.00000000,915,927,26,0.00083642
1781598651.96557450,0.00527589,15257,0.00005676,0.00000000,0,0.00000000,927,930,20,0.00066686
1781598652.06578875,0.00392647,15169,0.00006331,0.00000000,0,0.00000000,930,910,20,0.00085430
1781598652.16568136,0.00458953,15156,0.00015892,0.00000000,0,0.00000000,910,868,36,0.00058018
1781598652.26631665,0.00575582,15146,0.00008428,0.00000000,0,0.00000000,868,884,23,0.00070454
1781598652.36559510,0.00465176,15241,0.00009786,0.00000000,0,0.00000000,884,887,22,0.00050965
1781598652.46524906,0.00455764,15252,0.00008213,0.00000000,0,0.00000000,887,894,16,0.00062106
1781598652.56557870,0.00437952,15184,0.00004395,0.00000000,0,0.00000000,894,909,18,0.00048494
1781598652.66550279,0.00671542,15235,0.00005223,0.00000000,0,0.00000000,909,898,18,0.00046615
1781598652.76524353,0.00368281,15176,0.00003401,0.00000000,0,0.00000000,898,886,12,0.00082444
1781598652.86550236,0.00423865,15272,0.00004317,0.00000000,0,0.00000000,886,886,18,0.00104438
1781598652.96652746,0.00431606,15110,0.00004572,0.00000000,0,0.00000000,886,895,16,0.00080119
1781598653.06518483,0.01702457,15313,0.00007053,0.00000000,0,0.00000000,895,913,23,0.00060242
1781598653.16564751,0.00417834,15196,0.00006375,0.00000000,0,0.00000000,913,912,26,0.00068563
1781598653.26552677,0.00451923,15212,0.00010841,0.00000000,0,0.00000000,912,864,19,0.00073401
1781598653.36562896,0.00364262,15127,0.00006114,0.00000000,0,0.00000000,864,871,17,0.00074762
1781598653.46515322,0.00395385,15221,0.00004206,0.00000000,0,0.00000000,871,875,16,0.00065071
1781598653.56552720,0.00403123,15136,0.00005828,0.00000000,0,0.00000000,875,881,25,0.00075983
1781598653.66553259,0.00518430,15081,0.00004664,0.00000000,0,0.00000000,881,877,18,0.00068683
1781598653.76519585,0.00481218,15173,0.00006967,0.00000000,0,0.00000000,877,896,23,0.00069023
1781598653.86535978,0.00385466,15247,0.00003179,0.00000000,0,0.00000000,896,904,13,0.00048074
1781598653.96566629,0.01104241,15208,0.00004597,0.00000000,0,0.00000000,904,909,15,0.00089434
1781598654.06653214,0.00394161,15113,0.00004527,0.00000000,0,0.00000000,909,922,18,0.00070978
1781598654.16546607,0.00516478,15221,0.00005152,0.00000000,0,0.00000000,922,936,24,0.00070910
1781598654.26567674,0.00434195,15079,0.00013482,0.00000000,0,0.00000000,936,890,22,0.00051539
1781598654.36548758,0.00585108,15277,0.00006687,0.00000000,0,0.00000000,890,898,18,0.00057667
1781598654.46558666,0.00557004,15088,0.00008116,0.00000000,0,0.00000000,898,918,23,0.00061879
1781598654.56550384,0.00544236,15055,0.00007566,0.00000000,0,0.00000000,918,924,19,0.00096527
1781598654.66518831,0.00411691,15174,0.00003454,0.00000000,0,0.00000000,924,929,11,0.00080771
1781598654.76559329,0.00628158,15297,0.00005812,0.00000000,0,0.00000000,929,914,13,0.00066142
1781598654.86545706,0.00669459,15247,0.00003177,0.00000000,0,0.00000000,914,924,10,0.00063215
1781598654.96525979,0.00589562,15284,0.00005015,0.00000000,0,0.00000000,924,926,12,0.00098676
1781598655.06554389,0.00378410,15234,0.00002765,0.00000000,0,0.00000000,926,921,8,0.00074405
1781598655.16550875,0.00464698,15326,0.00002427,0.00000000,0,0.00000000,921,918,8,0.00046021
1781598655.26572180,0.00473002,15215,0.00004245,0.00000000,0,0.00000000,918,914,13,0.00071690
1781598655.36564565,0.00471858,15306,0.00000932,0.00000000,0,0.00000000,914,916,3,0.00097673
1781598655.56517649,0.00552282,15307,0.00002475,0.00000000,0,0.00000000,916,922,10,0.00059289
1781598655.66522312,0.00416537,15118,0.00002644,0.00000000,0,0.00000000,922,932,10,0.00049783
1781598655.76558113,0.00375548,15153,0.00001848,0.00000000,0,0.00000000,932,936,6,0.00050549
1781598655.86570644,0.00546391,15227,0.00002418,0.00000000,0,0.00000000,936,944,8,0.00045981
1781598655.96560931,0.00562627,15127,0.00003657,0.00000000,0,0.00000000,944,949,7,0.00061724
1781598656.06562710,0.00803800,15099,0.00003329,0.00000000,0,0.00000000,949,957,11,0.00091679
1781598656.16549873,0.00445422,15162,0.00002304,0.00000000,0,0.00000000,957,963,8,0.00087318
1781598656.26537228,0.00461216,15243,0.00002499,0.00000000,0,0.00000000,963,955,7,0.00086395
1781598656.36561608,0.00461650,15087,0.00001939,0.00000000,0,0.00000000,955,964,9,0.00091117
1781598656.46548104,0.00496828,14958,0.00003614,0.00000000,0,0.00000000,964,974,13,0.00094352
1781598656.56519985,0.00523371,15223,0.00002177,0.00000000,0,0.00000000,974,974,3,0.00067753
1781598656.66541386,0.01336822,15206,0.00003276,0.00000000,0,0.00000000,974,982,9,0.00057932
1781598656.76642680,0.00440863,15034,0.00000931,0.00000000,0,0.00000000,982,980,1,0.00068170
1781598656.86559439,0.00478663,15143,0.00005202,0.00000000,0,0.00000000,980,981,10,0.00062694
1781598656.96557999,0.00615337,15275,0.00001816,0.00000000,0,0.00000000,981,985,4,0.00063545
1781598657.06641006,0.00424197,15060,0.00001789,0.00000000,0,0.00000000,985,987,8,0.00077927
1781598657.16641903,0.00458232,15143,0.00002188,0.00000000,0,0.00000000,987,994,7,0.00096741
1781598657.26550770,0.00476941,15238,0.00002347,0.00000000,0,0.00000000,994,994,6,0.00054967
1781598657.36563969,0.00418406,15015,0.00002534,0.00000000,0,0.00000000,994,999,5,0.00093970
1781598657.46515870,0.00451202,14990,0.00002316,0.00000000,0,0.00000000,999,1004,9,0.00090160
1781598657.56537795,0.00605682,15194,0.00004256,0.00000000,0,0.00000000,1004,1016,12,0.00058260
1781598657.66517353,0.00425568,15174,0.00003895,0.00000000,0,0.00000000,1016,1010,11,0.00086463
1781598657.76555371,0.00414508,15155,0.00001793,0.00000000,0,0.00000000,1010,1014,5,0.00106406
1781598657.86649632,0.00436139,15102,0.00001851,0.00000000,0,0.00000000,1014,1004,2,0.00056826
1781598657.96638608,0.01202122,15139,0.00000818,0.00000000,0,0.00000000,1004,1006,2,0.00062890
1781598658.06557679,0.00432565,15066,0.00000874,0.00000000,0,0.00000000,1006,1010,4,0.00095378
1781598658.16539145,0.00423988,15142,0.00001879,0.00000000,0,0.00000000,1010,1009,4,0.00047233
1781598658.26635790,0.00490972,15158,0.00004621,0.00000000,0,0.00000000,1009,986,4,0.00074525
1781598658.36544847,0.00403321,15166,0.00000942,0.00000000,0,0.00000000,986,989,3,0.00046969
1781598658.46642947,0.00435260,15083,0.00003640,0.00000000,0,0.00000000,989,971,7,0.00075934
1781598658.56634808,0.00448874,15122,0.00003469,0.00000000,0,0.00000000,971,976,9,0.00049202
1781598658.66543746,0.00474789,15276,0.00002908,0.00000000,0,0.00000000,976,971,6,0.00075600
1781598658.76644540,0.00440030,15070,0.00001413,0.00000000,0,0.00000000,971,974,4,0.00087407
1781598658.86633897,0.00393107,14963,0.00003471,0.00000000,0,0.00000000,974,951,7,0.00070808
1781598658.96548510,0.00581244,15311,0.00001517,0.00000000,0,0.00000000,951,955,5,0.00059600
1781598659.06640816,0.01266224,15156,0.00000820,0.00000000,0,0.00000000,955,957,3,0.00091344
1781598659.16631246,0.00427022,15008,0.00002044,0.00000000,0,0.00000000,957,953,4,0.00058346
1781598659.26541233,0.00377380,15163,0.00000882,0.00000000,0,0.00000000,953,956,3,0.00089890
1781598659.36643696,0.00375749,15157,0.00001229,0.00000000,0,0.00000000,956,961,5,0.00077160
1781598659.46630406,0.00370915,15105,0.00001356,0.00000000,0,0.00000000,961,961,3,0.00084565
1781598659.56549311,0.00878174,15018,0.00001665,0.00000000,0,0.00000000,961,965,5,0.00055005
1781598659.66530943,0.00481602,15152,0.00000514,0.00000000,0,0.00000000,965,966,1,0.00051223
1781598659.76632571,0.00551566,15130,0.00002194,0.00000000,0,0.00000000,966,972,6,0.00054033
1781598659.86540389,0.00554657,15098,0.00002167,0.00000000,0,0.00000000,972,977,5,0.00050762
1781598659.96639585,0.00360101,15086,0.00001117,0.00000000,0,0.00000000,977,981,5,0.00075756
1781598660.06645560,0.00542024,15116,0.00005093,0.00000000,0,0.00000000,981,954,4,0.00050811
1781598660.16539812,0.00410033,15126,0.00000495,0.00000000,0,0.00000000,954,955,1,0.00048681
1781598660.26636982,0.00424569,15091,0.00001334,0.00000000,0,0.00000000,955,960,5,0.00071233
1781598660.36636281,0.00411871,15210,0.00001277,0.00000000,0,0.00000000,960,965,6,0.00070311
1781598660.46646786,0.00377330,15057,0.00001523,0.00000000,0,0.00000000,965,967,4,0.00047440
1781598660.56542277,0.00554580,15101,0.00003442,0.00000000,0,0.00000000,967,978,13,0.00059269
1781598660.66641521,0.00428590,15238,0.00001652,0.00000000,0,0.00000000,978,980,5,0.00079836
1781598660.76649618,0.00374553,15142,0.00002387,0.00000000,0,0.00000000,980,973,7,0.00062183
1781598660.86636901,0.00491350,15138,0.00001931,0.00000000,0,0.00000000,973,982,9,0.00091610
1781598660.96630383,0.00539591,15036,0.00004120,0.00000000,0,0.00000000,982,977,7,0.00073195
1781598661.06545210,0.00760174,15248,0.00000968,0.00000000,0,0.00000000,977,978,1,0.00081535
1781598661.16634345,0.00394342,15126,0.00001646,0.00000000,0,0.00000000,978,985,7,0.00083972
1781598661.26634097,0.00487889,15155,0.00000545,0.00000000,0,0.00000000,985,986,1,0.00049229
1781598661.36643291,0.00383155,15131,0.00001708,0.00000000,0,0.00000000,986,988,5,0.00049310
1781598661.46627641,0.00462454,15082,0.00000809,0.00000000,0,0.00000000,988,989,1,0.00094751
1781598661.56637168,0.00430218,15073,0.00001949,0.00000000,0,0.00000000,989,994,6,0.00095062
1781598661.66628146,0.00431067,15252,0.00001185,0.00000000,0,0.00000000,994,998,4,0.00082651
1781598661.76633549,0.00408074,15128,0.00003799,0.00000000,0,0.00000000,998,992,7,0.00090747
1781598661.86547351,0.01489570,15057,0.00001302,0.00000000,0,0.00000000,992,995,4,0.00074228
1781598661.96626067,0.00373703,15176,0.00000652,0.00000000,0,0.00000000,995,997,2,0.00083248
1781598662.06641150,0.00510260,15150,0.00001829,0.00000000,0,0.00000000,997,1002,7,0.00065982
1781598662.16632748,0.00416673,15139,0.00001116,0.00000000,0,0.00000000,1002,1007,5,0.00085250
1781598662.26626897,0.00381058,15062,0.00002221,0.00000000,0,0.00000000,1007,999,4,0.00100369
1781598662.36546350,0.00409146,15199,0.00001569,0.00000000,0,0.00000000,999,1003,5,0.00056770
1781598662.46622968,0.00391108,15170,0.00001658,0.00000000,0,0.00000000,1003,1003,5,0.00093039
1781598662.56632638,0.00401188,15132,0.00003739,0.00000000,0,0.00000000,1003,1003,4,0.00079634
1781598662.66623688,0.00396679,15179,0.00000769,0.00000000,0,0.00000000,1003,1005,2,0.00049715
1781598662.76553035,0.00405324,15048,0.00001083,0.00000000,0,0.00000000,1005,1008,3,0.00069210
1781598662.86626434,0.00419755,15148,0.00000955,0.00000000,0,0.00000000,1008,1011,3,0.00090070
1781598662.96641111,0.00468494,15021,0.00000988,0.00000000,0,0.00000000,1011,1013,2,0.00048325
1781598663.06631589,0.00390021,15162,0.00001462,0.00000000,0,0.00000000,1013,1017,4,0.00054387
1781598663.16553736,0.00418366,15123,0.00004266,0.00000000,0,0.00000000,1017,1004,3,0.00084404
1781598663.26632142,0.00379875,14983,0.00001361,0.00000000,0,0.00000000,1004,1009,5,0.00093340
1781598663.36537051,0.00452123,15276,0.00001281,0.00000000,0,0.00000000,1009,1012,3,0.00083890
1781598663.46621370,0.00410466,15232,0.00003067,0.00000000,0,0.00000000,1012,1014,12,0.00095371
1781598663.56644678,0.00568778,15135,0.00002781,0.00000000,0,0.00000000,1014,1016,6,0.00070390
1781598663.66553998,0.00357302,15032,0.00001055,0.00000000,0,0.00000000,1016,1020,4,0.00085319
1781598663.76619053,0.00351861,15006,0.00001549,0.00000000,0,0.00000000,1020,1020,4,0.00093307
1781598663.86518908,0.00389969,15139,0.00002823,0.00000000,0,0.00000000,1020,1018,8,0.00086471
1781598663.96632385,0.00336138,15054,0.00000987,0.00000000,0,0.00000000,1018,1022,4,0.00079546
1781598664.06541038,0.00439020,15259,0.00000550,0.00000000,0,0.00000000,1022,1023,1,0.00093968
